step_name,cluster_ID,old_id,step_idx,argmin,count,pop,origin,M_axis
CG/AT,0,422,423,19,6,0.193548387097,"-0.820,0.897,3.388","0.743,0.668,-0.042,-0.669,0.743,-0.025,0.014,0.047,0.999"
CG/AT,1,107,108,5,17,0.548387096774,"-1.233,2.632,3.265","0.629,0.769,0.115,-0.766,0.638,-0.080,-0.135,-0.038,0.990"
CG/AT,2,205,206,11,4,0.129032258065,"-0.202,-0.116,3.310","0.834,0.545,-0.092,-0.540,0.839,0.067,0.114,-0.006,0.993"
CG/AT,3,406,407,16,3,0.0967741935484,"-1.001,1.846,3.305","0.669,0.740,0.077,-0.742,0.670,0.016,-0.040,-0.067,0.997"
CG/AT,4,500,501,24,1,0.0322580645161,"-0.103,0.566,3.634","0.700,0.712,-0.055,-0.712,0.702,0.034,0.062,0.015,0.998"
TA/GC,0,220,221,13,3,0.0967741935484,"0.405,1.124,2.967","0.875,0.482,-0.036,-0.483,0.873,-0.067,-0.001,0.077,0.997"
TA/GC,1,441,442,22,19,0.612903225806,"-1.506,2.363,3.171","0.634,0.768,0.092,-0.768,0.639,-0.052,-0.099,-0.038,0.994"
TA/GC,2,247,248,15,4,0.129032258065,"0.166,1.115,3.474","0.727,0.686,0.008,-0.685,0.727,0.034,0.017,-0.031,0.999"
TA/GC,3,412,413,17,4,0.129032258065,"0.523,-0.317,3.605","0.783,0.606,-0.141,-0.607,0.793,0.043,0.138,0.052,0.989"
TA/GC,4,673,674,29,1,0.0322580645161,"0.600,2.323,3.374","0.855,0.517,-0.045,-0.513,0.855,0.075,0.078,-0.042,0.996"
AT/AT,0,122,123,6,6,0.103448275862,"0.533,0.576,3.182","0.863,0.486,-0.140,-0.490,0.872,-0.000,0.122,0.070,0.990"
AT/AT,1,66,67,3,7,0.120689655172,"-1.056,0.284,3.439","0.784,0.619,0.044,-0.614,0.785,-0.087,-0.089,0.041,0.995"
AT/AT,2,198,199,17,45,0.775862068966,"0.192,-0.124,3.271","0.804,0.594,-0.014,-0.594,0.803,-0.050,-0.017,0.049,0.999"
TA/TA,0,202,203,18,42,0.724137931034,"-0.034,-0.375,3.257","0.804,0.594,0.017,-0.594,0.803,0.049,0.014,-0.050,0.999"
TA/TA,1,130,131,7,11,0.189655172414,"-0.291,0.239,3.255","0.863,0.490,-0.122,-0.485,0.871,0.070,0.141,-0.001,0.990"
TA/TA,2,326,327,36,5,0.0862068965517,"0.679,0.634,3.310","0.765,0.641,-0.063,-0.644,0.764,-0.024,0.032,0.058,0.998"
AT/GC,0,225,226,10,6,0.260869565217,"0.668,0.046,3.274","0.872,0.488,-0.050,-0.488,0.873,-0.010,0.038,0.033,0.999"
AT/GC,1,674,675,21,1,0.0434782608696,"-1.151,2.085,3.187","0.655,0.750,0.095,-0.739,0.661,-0.128,-0.159,0.014,0.987"
AT/GC,2,341,342,13,1,0.0434782608696,"-2.389,-0.177,3.206","0.865,0.495,0.077,-0.475,0.860,-0.188,-0.159,0.126,0.979"
AT/GC,3,442,443,16,8,0.347826086957,"0.619,0.891,3.037","0.929,0.345,-0.134,-0.354,0.934,-0.047,0.108,0.091,0.990"
AT/GC,4,159,160,8,6,0.260869565217,"0.072,-0.499,3.518","0.799,0.601,-0.021,-0.601,0.799,-0.016,0.007,0.026,1.000"
AT/GC,5,461,462,19,1,0.0434782608696,"-0.201,1.626,3.107","0.853,0.476,-0.213,-0.506,0.854,-0.118,0.125,0.209,0.970"
CG/TA,0,450,451,17,11,0.478260869565,"-0.477,0.470,3.155","0.929,0.354,-0.108,-0.345,0.934,0.091,0.134,-0.047,0.990"
CG/TA,1,340,341,13,1,0.0434782608696,"1.909,0.382,3.497","0.865,0.475,0.159,-0.495,0.860,0.126,-0.077,-0.188,0.979"
CG/TA,2,5,6,0,10,0.434782608696,"0.030,-0.254,3.289","0.795,0.606,0.032,-0.606,0.793,0.054,0.008,-0.063,0.998"
CG/TA,3,675,676,21,1,0.0434782608696,"-1.115,1.820,3.357","0.655,0.739,0.159,-0.750,0.661,0.014,-0.096,-0.129,0.987"
GC/CG,0,655,656,61,26,0.393939393939,"0.591,0.752,3.273","0.758,0.650,0.047,-0.651,0.759,0.009,-0.030,-0.037,0.999"
GC/CG,1,670,671,64,10,0.151515151515,"-1.734,0.036,3.290","0.740,0.668,0.078,-0.664,0.744,-0.075,-0.108,0.004,0.994"
GC/CG,2,437,438,41,13,0.19696969697,"0.434,-0.500,3.454","0.830,0.555,-0.052,-0.557,0.830,-0.034,0.024,0.057,0.998"
GC/CG,3,109,110,7,17,0.257575757576,"-0.996,0.242,3.375","0.746,0.665,0.034,-0.664,0.747,-0.021,-0.040,-0.007,0.999"
TA/CG,0,357,358,28,26,0.553191489362,"0.089,-0.138,3.383","0.772,0.634,-0.048,-0.634,0.773,0.016,0.047,0.019,0.999"
TA/CG,1,149,150,14,11,0.234042553191,"0.456,1.565,3.221","0.787,0.613,-0.064,-0.612,0.790,0.039,0.075,0.009,0.997"
TA/CG,2,242,243,17,8,0.170212765957,"0.877,0.739,3.348","0.764,0.645,0.010,-0.645,0.764,0.023,0.007,-0.024,1.000"
TA/CG,3,328,329,23,2,0.0425531914894,"-0.801,-0.089,2.729","0.905,0.423,-0.047,-0.416,0.903,0.106,0.087,-0.078,0.993"
GC/AT,0,320,321,22,2,0.0425531914894,"0.890,0.544,2.648","0.905,0.416,-0.087,-0.423,0.903,-0.078,0.047,0.107,0.993"
GC/AT,1,19,20,1,7,0.148936170213,"-1.384,1.060,3.427","0.762,0.646,-0.032,-0.646,0.763,0.009,0.029,0.013,0.999"
GC/AT,2,36,37,6,8,0.170212765957,"-0.713,0.431,3.306","0.766,0.643,0.007,-0.641,0.764,-0.072,-0.051,0.051,0.997"
GC/AT,3,356,357,28,26,0.553191489362,"0.182,-0.110,3.380","0.772,0.634,-0.047,-0.634,0.773,0.019,0.048,0.016,0.999"
GC/AT,4,280,281,18,4,0.0851063829787,"-0.722,1.587,3.068","0.744,0.650,-0.153,-0.662,0.748,-0.049,0.083,0.138,0.987"
CG/GC,0,666,667,134,35,0.253623188406,"-0.193,0.602,3.228","0.849,0.499,-0.173,-0.487,0.867,0.109,0.204,-0.009,0.979"
CG/GC,1,174,175,20,42,0.304347826087,"-0.992,2.584,3.321","0.786,0.618,0.011,-0.618,0.786,0.004,-0.006,-0.010,1.000"
CG/GC,2,619,620,121,20,0.144927536232,"-0.992,0.782,3.374","0.779,0.624,-0.066,-0.626,0.780,-0.021,0.038,0.058,0.998"
CG/GC,3,48,49,6,41,0.297101449275,"0.501,0.994,3.194","0.858,0.505,-0.092,-0.508,0.861,0.004,0.082,0.043,0.996"
AT/TA,0,651,652,57,15,0.258620689655,"0.555,-0.477,3.306","0.864,0.500,-0.055,-0.500,0.866,0.027,0.060,0.004,0.998"
AT/TA,1,604,605,50,34,0.586206896552,"0.105,-0.594,3.280","0.859,0.512,-0.010,-0.512,0.859,0.017,0.017,-0.009,1.000"
AT/TA,2,411,412,33,7,0.120689655172,"-0.258,-0.777,3.316","0.845,0.535,0.022,-0.534,0.845,-0.019,-0.029,0.004,1.000"
AT/TA,3,324,325,28,2,0.0344827586207,"-0.121,0.313,3.250","0.761,0.649,0.003,-0.648,0.761,-0.001,-0.004,-0.001,1.000"
CG/CG,0,593,594,15,6,0.315789473684,"0.295,-0.089,3.676","0.805,0.589,-0.068,-0.590,0.807,0.008,0.059,0.034,0.998"
CG/CG,1,177,178,2,2,0.105263157895,"-0.731,2.019,3.583","0.748,0.663,-0.033,-0.657,0.747,0.100,0.091,-0.052,0.994"
CG/CG,2,555,556,13,3,0.157894736842,"0.808,1.658,3.774","0.782,0.601,-0.166,-0.604,0.796,0.034,0.152,0.073,0.986"
CG/CG,3,609,610,17,4,0.210526315789,"-0.719,0.492,3.462","0.758,0.651,-0.044,-0.652,0.757,-0.034,0.011,0.054,0.998"
CG/CG,4,308,309,6,4,0.210526315789,"1.070,0.531,3.474","0.840,0.542,-0.015,-0.539,0.838,0.082,0.057,-0.060,0.997"
GC/GC,0,483,484,11,3,0.157894736842,"-0.089,-0.107,3.463","0.825,0.552,-0.125,-0.553,0.833,0.031,0.122,0.044,0.992"
GC/GC,1,176,177,2,2,0.105263157895,"-0.671,2.345,3.391","0.748,0.657,-0.091,-0.662,0.747,-0.053,0.034,0.100,0.994"
GC/GC,2,554,555,13,3,0.157894736842,"-1.003,0.960,3.964","0.782,0.604,-0.153,-0.601,0.796,0.074,0.165,0.034,0.986"
GC/GC,3,498,499,12,5,0.263157894737,"0.608,-0.085,3.417","0.818,0.568,-0.091,-0.567,0.823,0.031,0.093,0.026,0.995"
GC/GC,4,309,310,6,4,0.210526315789,"-1.133,0.152,3.492","0.840,0.539,-0.057,-0.542,0.838,-0.060,0.015,0.082,0.997"
GC/GC,5,617,618,18,2,0.105263157895,"0.374,0.776,3.463","0.759,0.652,-0.009,-0.651,0.758,0.052,0.041,-0.034,0.999"
TA/AT,0,257,258,11,9,0.409090909091,"-0.114,1.158,3.072","0.875,0.472,-0.111,-0.472,0.881,0.034,0.114,0.023,0.993"
TA/AT,1,612,613,16,8,0.363636363636,"-0.033,0.353,3.579","0.718,0.695,-0.025,-0.695,0.719,0.020,0.032,0.004,0.999"
TA/AT,2,403,404,15,5,0.227272727273,"-0.736,1.098,3.506","0.747,0.659,-0.089,-0.663,0.748,-0.026,0.049,0.079,0.996"
GC/TA,0,610,611,18,5,0.25,"0.419,-0.079,3.043","0.912,0.404,-0.074,-0.404,0.915,0.009,0.072,0.022,0.997"
GC/TA,1,292,293,10,11,0.55,"-0.627,-0.624,3.330","0.845,0.534,-0.037,-0.533,0.846,0.013,0.039,0.008,0.999"
GC/TA,2,186,187,6,3,0.15,"1.043,0.106,3.133","0.862,0.490,-0.126,-0.482,0.872,0.088,0.154,-0.015,0.988"
GC/TA,3,301,302,11,1,0.05,"-0.740,1.573,3.368","0.664,0.722,0.195,-0.713,0.690,-0.126,-0.226,-0.056,0.973"
AT/CG,0,187,188,6,7,0.35,"-0.555,-0.134,3.255","0.862,0.482,-0.154,-0.490,0.872,-0.015,0.126,0.089,0.988"
AT/CG,1,179,180,4,10,0.5,"0.816,-0.182,3.305","0.896,0.443,-0.003,-0.444,0.896,-0.021,-0.007,0.020,1.000"
AT/CG,2,102,103,1,2,0.1,"0.563,0.549,3.287","0.811,0.585,-0.000,-0.585,0.810,-0.041,-0.025,0.032,0.999"
AT/CG,3,300,301,11,1,0.05,"-1.302,1.187,3.355","0.663,0.713,0.226,-0.722,0.690,-0.055,-0.195,-0.126,0.973"
